doc_type,doc_id,num,date_str,description,url_metadata,lang,newspaper_id,time_ut,source
lk_news,2025-09-13-adaderanalk-b9fbe37a,adaderanalk-b9fbe37a,2025-09-13,President Dissanayake congratulates Nepal’s Interim PM Sushila Karki,https://www.adaderana.lk/news/112461/president-dissanayake-congratulates-nepals-interim-pm-sushila-karki-,en,adaderanalk,1757763840.0,adaderana.lk
lk_news,2025-09-14-adaderanalk-4d24cd63,adaderanalk-4d24cd63,2025-09-14,"FM concludes visit to Geneva, reaffirms Sri Lanka’s commitment to domestic reconciliation",https://www.adaderana.lk/news/112469/fm-concludes-visit-to-geneva-reaffirms-sri-lankas-commitment-to-domestic-reconciliation,en,adaderanalk,1757818680.0,adaderana.lk
lk_news,2025-09-14-adaderanalk-c340ff14,adaderanalk-c340ff14,2025-09-14,"Foreign Minister Vijitha Herath concludes visit to Geneva, reaffirms Sri Lanka’s commitment to domestic reconciliation",https://www.adaderana.lk/news/112469/foreign-minister-vijitha-herath-concludes-visit-to-geneva-reaffirms-sri-lankas-commitment-to-domestic-reconciliation,en,adaderanalk,1757818680.0,adaderana.lk
lk_news,2025-09-14-adaderanalk-dba19101,adaderanalk-dba19101,2025-09-14,Legal action against 900 individuals for selling rice above MRP,https://www.adaderana.lk/news/112475/legal-action-against-900-individuals-for-selling-rice-above-mrp,en,adaderanalk,1757829660.0,adaderana.lk
lk_news,2025-09-14-adaderanalk-ae529860,adaderanalk-ae529860,2025-09-14,2026 schools exams schedule released,https://www.adaderana.lk/news/112479/2026-schools-exams-schedule-released-,en,adaderanalk,1757832180.0,adaderana.lk
lk_news,2025-09-14-adaderanalk-d5f398d8,adaderanalk-d5f398d8,2025-09-14,"72 dead in Nepal protests, victims declared ‘Martyrs’, families to get relief",https://www.adaderana.lk/news/112488/72-dead-in-nepal-protests-victims-declared-martyrs-families-to-get-relief,en,adaderanalk,1757843760.0,adaderana.lk
lk_news,2025-09-14-adaderanalk-a573c8ea,adaderanalk-a573c8ea,2025-09-14,“President’s Fund which benefited only a limited group has now become a public fund” – PM Harini,https://www.adaderana.lk/news/112491/presidents-fund-which-benefited-only-a-limited-group-has-now-become-a-public-fund-pm-harini,en,adaderanalk,1757846880.0,adaderana.lk
lk_news,2025-09-14-islandlk-01b87f78,islandlk-01b87f78,2025-09-14,DIMO Installs Sri Lanka’s first ICC-compliant LED floodlights for stadiums,http://island.lk/dimo-installs-sri-lankas-first-icc-compliant-led-floodlights-for-stadiums/,en,islandlk,1757851380.0,island.lk
lk_news,2025-09-14-islandlk-05ca5f4c,islandlk-05ca5f4c,2025-09-14,"ADB’s water brings life to Vavuniya, but affordability crisis looms for the poor",http://island.lk/adbs-water-brings-life-to-vavuniya-but-affordability-crisis-looms-for-the-poor/,en,islandlk,1757851500.0,island.lk
lk_news,2025-09-14-islandlk-90df3369,islandlk-90df3369,2025-09-14,National expanded programme on immunisation for children,http://island.lk/national-expanded-programme-on-immunisation-for-children/,en,islandlk,1757852520.0,island.lk
